** Train timings in this log file are not correct. **

Experiment to train VESICLE-CNN-2 to predict synapses, using straight upadted vesicle architecture.
Experiment conducted at:12/10/2017 10:31:19.

Experimental setup:
Training settings:
	Learning scheme: ADAM
	Training steps:  300001
	Optimize weighted cross entropy
	Select best network from F1

	Training ratio: 0.100000
	Training weight: 0.100000
	FC units: 1024.000000
step 75000, validation accuracy 0.984909, cross entropy 0.420281, f1(ave) 0.44913
step 76000, validation accuracy 0.98648, cross entropy 0.411199, f1(ave) 0.467767
step 77000, validation accuracy 0.990864, cross entropy 0.391884, f1(ave) 0.548928
step 78000, validation accuracy 0.986636, cross entropy 0.410576, f1(ave) 0.470124
step 79000, validation accuracy 0.990536, cross entropy 0.393028, f1(ave) 0.53142
step 80000, validation accuracy 0.986534, cross entropy 0.413192, f1(ave) 0.472118
step 81000, validation accuracy 0.987298, cross entropy 0.407782, f1(ave) 0.482021
step 82000, validation accuracy 0.988331, cross entropy 0.404447, f1(ave) 0.501299
step 83000, validation accuracy 0.989006, cross entropy 0.400192, f1(ave) 0.512893
step 84000, validation accuracy 0.989074, cross entropy 0.399612, f1(ave) 0.509774
step 85000, validation accuracy 0.988632, cross entropy 0.402812, f1(ave) 0.504919
step 86000, validation accuracy 0.985674, cross entropy 0.416141, f1(ave) 0.46132
step 87000, validation accuracy 0.985735, cross entropy 0.41556, f1(ave) 0.457742
step 88000, validation accuracy 0.986695, cross entropy 0.411496, f1(ave) 0.477047
step 89000, validation accuracy 0.987435, cross entropy 0.408228, f1(ave) 0.488487
step 90000, validation accuracy 0.98497, cross entropy 0.418711, f1(ave) 0.448076
step 91000, validation accuracy 0.988809, cross entropy 0.401913, f1(ave) 0.514718
step 92000, validation accuracy 0.988885, cross entropy 0.401284, f1(ave) 0.514879
step 93000, validation accuracy 0.988245, cross entropy 0.404061, f1(ave) 0.50223
step 94000, validation accuracy 0.990842, cross entropy 0.392805, f1(ave) 0.556734
step 95000, validation accuracy 0.986501, cross entropy 0.412206, f1(ave) 0.471338
step 96000, validation accuracy 0.987797, cross entropy 0.406634, f1(ave) 0.495746
step 97000, validation accuracy 0.987394, cross entropy 0.408033, f1(ave) 0.4857
step 98000, validation accuracy 0.984567, cross entropy 0.420828, f1(ave) 0.443739
step 99000, validation accuracy 0.991379, cross entropy 0.389828, f1(ave) 0.559392
step 100000, validation accuracy 0.987797, cross entropy 0.405757, f1(ave) 0.490444
step 101000, validation accuracy 0.987446, cross entropy 0.407738, f1(ave) 0.487911
step 102000, validation accuracy 0.989761, cross entropy 0.397656, f1(ave) 0.533077
step 103000, validation accuracy 0.985409, cross entropy 0.417648, f1(ave) 0.460254
step 104000, validation accuracy 0.988417, cross entropy 0.403022, f1(ave) 0.502839
step 105000, validation accuracy 0.990128, cross entropy 0.395646, f1(ave) 0.538307
step 106000, validation accuracy 0.990514, cross entropy 0.393482, f1(ave) 0.545495
step 107000, validation accuracy 0.98795, cross entropy 0.40518, f1(ave) 0.498155
step 108000, validation accuracy 0.98815, cross entropy 0.404218, f1(ave) 0.499808
step 109000, validation accuracy 0.987551, cross entropy 0.407375, f1(ave) 0.492808
step 110000, validation accuracy 0.986633, cross entropy 0.411945, f1(ave) 0.479602
step 111000, validation accuracy 0.989594, cross entropy 0.398055, f1(ave) 0.531127
step 112000, validation accuracy 0.987108, cross entropy 0.408938, f1(ave) 0.48419
step 113000, validation accuracy 0.987033, cross entropy 0.410358, f1(ave) 0.480741
step 114000, validation accuracy 0.989167, cross entropy 0.39951, f1(ave) 0.517208
